,SPY,GOOG,AAPL,XOM,IBM,Cash
2011-01-10,123.19,614.21,340.99,72.02,143.41,1.0
2011-01-11,123.63,616.01,340.18,72.56,143.06,1.0
2011-01-12,124.74,616.87,342.95,73.41,144.82,1.0
2011-01-13,124.54,616.69,344.2,73.54,144.55,1.0
2011-01-14,125.44,624.18,346.99,74.62,145.7,1.0
2011-01-18,125.65,639.63,339.19,75.45,146.33,1.0
2011-01-19,124.42,631.75,337.39,75.0,151.22,1.0
2011-01-20,124.26,626.77,331.26,74.53,151.33,1.0
2011-01-21,124.54,611.83,325.32,75.71,151.04,1.0
2011-01-24,125.25,611.08,336.01,75.34,155.05,1.0
2011-01-25,125.31,619.91,339.94,75.43,156.81,1.0
2011-01-26,125.8,616.5,342.38,76.37,156.42,1.0
2011-01-27,126.11,616.79,341.74,76.58,156.45,1.0
2011-01-28,123.91,600.99,334.66,75.72,154.64,1.0
2011-01-31,124.84,600.36,337.87,77.34,157.35,1.0
2011-02-01,126.84,611.04,343.55,80.44,158.87,1.0
2011-02-02,126.6,612.0,342.85,79.96,158.62,1.0
2011-02-03,126.88,610.15,341.97,79.99,158.84,1.0
2011-02-04,127.24,610.98,345.02,79.84,159.3,1.0
2011-02-07,128.03,614.29,350.38,80.46,160.09,1.0
2011-02-08,128.61,618.38,353.68,79.97,161.93,1.0
2011-02-09,128.32,616.5,356.63,79.55,160.56,1.0
2011-02-10,128.37,616.44,353.02,80.18,160.02,1.0
2011-02-11,129.14,624.5,355.32,79.81,159.78,1.0
2011-02-14,129.45,628.15,357.64,81.83,159.17,1.0
2011-02-15,129.04,624.15,358.36,79.96,158.8,1.0
2011-02-16,129.85,624.22,361.58,80.65,159.34,1.0
2011-02-17,130.24,625.26,356.77,80.83,160.16,1.0
2011-02-18,130.51,630.08,349.06,81.43,160.75,1.0
2011-02-22,127.9,610.21,337.16,82.34,157.93,1.0
2011-02-23,127.11,611.32,341.16,83.91,156.2,1.0
2011-02-24,127.02,608.82,341.41,82.85,156.78,1.0
2011-02-25,128.38,610.04,346.67,82.24,158.25,1.0
2011-02-28,129.18,613.4,351.7,82.42,157.86,1.0
2011-03-01,127.02,600.76,347.82,81.72,156.0,1.0
2011-03-02,127.29,600.79,350.61,81.99,156.18,1.0
2011-03-03,129.49,609.56,358.02,82.7,159.42,1.0
2011-03-04,128.52,600.62,358.46,81.99,157.81,1.0
2011-03-07,127.51,591.66,353.84,81.64,155.96,1.0
2011-03-08,128.62,592.31,354.24,81.53,158.25,1.0
2011-03-09,128.44,591.77,350.96,81.32,161.74,1.0
2011-03-10,126.06,580.3,345.19,78.43,158.0,1.0
2011-03-11,126.93,576.71,350.49,79.14,158.4,1.0
2011-03-14,126.17,569.99,352.05,79.39,157.38,1.0
2011-03-15,124.72,569.56,343.95,78.44,155.07,1.0
2011-03-16,122.41,557.1,328.6,76.43,149.2,1.0
2011-03-17,124.03,561.36,333.21,78.21,150.35,1.0
2011-03-18,124.48,561.06,329.26,77.91,152.02,1.0
2011-03-21,126.41,576.5,337.85,79.83,153.76,1.0
2011-03-22,125.98,577.32,339.74,79.56,154.08,1.0
2011-03-23,126.34,582.16,337.74,79.6,155.57,1.0
2011-03-24,127.54,586.89,343.5,79.73,156.07,1.0
2011-03-25,127.93,579.74,350.04,80.58,158.15,1.0
2011-03-28,127.62,575.36,348.94,80.44,157.36,1.0
2011-03-29,128.48,581.73,349.46,80.23,158.84,1.0
2011-03-30,129.37,581.84,347.14,81.42,159.54,1.0
2011-03-31,129.19,586.76,347.02,81.08,159.02,1.0
2011-04-01,129.74,591.8,343.09,81.61,160.19,1.0
2011-04-04,129.84,587.68,339.73,81.79,160.17,1.0
2011-04-05,129.82,569.09,337.44,82.32,159.92,1.0
2011-04-06,130.23,574.18,336.59,82.09,159.97,1.0
2011-04-07,129.9,580.0,336.63,82.65,160.3,1.0
2011-04-08,129.45,578.16,333.63,82.83,159.98,1.0
2011-04-11,129.06,577.37,329.39,82.07,159.88,1.0
2011-04-12,128.1,570.61,330.98,80.16,159.2,1.0
2011-04-13,128.09,576.28,334.69,80.14,159.88,1.0
2011-04-14,128.19,578.51,331.0,80.41,160.87,1.0
2011-04-15,128.66,530.7,326.06,81.23,162.08,1.0
2011-04-18,127.21,526.84,330.43,80.08,161.82,1.0
2011-04-19,127.94,521.53,336.42,80.76,161.29,1.0
2011-04-20,129.69,525.73,340.95,82.54,160.66,1.0
2011-04-21,130.35,525.1,349.2,83.22,164.1,1.0
2011-04-25,130.21,525.05,351.5,83.09,163.51,1.0
2011-04-26,131.33,532.82,348.92,84.25,164.31,1.0
2011-04-27,132.19,537.76,348.65,84.59,166.14,1.0
2011-04-28,132.62,537.97,345.27,84.17,166.54,1.0
2011-04-29,132.93,544.1,348.63,84.79,166.34,1.0
2011-05-02,132.73,538.56,344.8,83.81,167.87,1.0
2011-05-03,132.25,533.89,346.71,82.51,168.58,1.0
2011-05-04,131.37,535.79,348.08,81.73,166.38,1.0
2011-05-05,130.18,534.27,345.27,79.62,164.28,1.0
2011-05-06,130.76,535.3,345.18,79.69,165.43,1.0
2011-05-09,131.27,537.68,346.11,80.16,165.64,1.0
2011-05-10,132.39,542.66,347.96,80.31,166.89,1.0
2011-05-11,130.99,535.45,345.75,78.62,166.03,1.0
2011-05-12,131.62,535.05,345.09,78.55,168.71,1.0
2011-05-13,130.6,529.55,339.04,78.38,166.44,1.0
2011-05-16,129.78,518.42,331.88,77.77,165.4,1.0
2011-05-17,129.76,530.46,334.7,77.93,167.01,1.0
2011-05-18,130.92,529.81,338.42,79.22,166.95,1.0
2011-05-19,131.23,531.25,339.07,79.79,167.1,1.0
2011-05-20,130.18,524.03,333.79,79.05,166.68,1.0
2011-05-23,128.67,518.39,332.97,78.18,164.82,1.0
2011-05-24,128.57,518.26,330.77,78.78,164.55,1.0
2011-05-25,129.0,519.67,335.34,79.43,164.32,1.0
2011-05-26,129.59,518.13,333.57,79.85,163.76,1.0
2011-05-27,130.09,520.9,335.97,80.08,164.07,1.0
2011-05-31,131.44,529.02,346.34,80.9,165.47,1.0
2011-06-01,128.49,525.6,344.03,79.5,163.15,1.0
2011-06-02,128.35,528.06,344.62,78.82,162.69,1.0
2011-06-03,127.08,523.08,341.97,78.68,161.67,1.0
2011-06-06,125.73,521.06,336.59,77.81,161.38,1.0
2011-06-07,125.65,519.03,330.62,77.53,160.34,1.0
2011-06-08,125.13,519.17,330.82,78.27,160.98,1.0
2011-06-09,126.08,516.73,330.07,78.68,161.47,1.0
2011-06-10,124.33,509.51,324.51,77.32,159.84,1.0
2011-06-13,124.43,504.73,325.2,76.79,159.83,1.0
2011-06-14,126.0,508.37,331.02,77.9,160.76,1.0
2011-06-15,123.76,502.95,325.35,76.23,159.01,1.0
2011-06-16,124.04,500.37,323.77,76.78,159.34,1.0
2011-06-17,124.41,485.02,318.89,76.58,161.07,1.0
2011-06-20,125.04,484.58,313.97,77.25,161.64,1.0
2011-06-21,126.76,493.0,323.91,78.09,162.82,1.0
2011-06-22,125.99,487.01,321.23,77.36,162.29,1.0
2011-06-23,125.63,480.22,329.81,76.02,162.72,1.0
2011-06-24,124.17,474.88,324.95,74.41,161.69,1.0
2011-06-27,125.28,482.8,330.62,75.52,164.19,1.0
2011-06-28,126.91,493.65,333.83,77.17,166.53,1.0
2011-06-29,128.0,497.57,332.61,77.78,167.05,1.0
2011-06-30,129.22,506.38,334.23,78.87,168.04,1.0
2011-07-01,131.13,521.03,341.79,79.48,170.97,1.0
2011-07-05,131.03,532.44,347.94,79.08,171.84,1.0
2011-07-06,131.18,535.36,350.26,79.05,174.07,1.0
2011-07-07,132.54,546.6,355.67,79.82,172.87,1.0
2011-07-08,131.6,531.99,358.17,79.88,172.88,1.0
2011-07-11,129.22,527.28,352.49,79.37,171.41,1.0
2011-07-12,128.67,534.01,352.24,79.36,170.49,1.0
2011-07-13,129.1,538.26,356.49,79.94,170.75,1.0
2011-07-14,128.21,528.94,356.24,79.7,170.66,1.0
2011-07-15,128.95,597.62,363.36,80.44,171.95,1.0
2011-07-18,127.89,594.94,372.2,80.1,171.69,1.0
2011-07-19,129.97,602.55,375.24,81.05,181.42,1.0
2011-07-20,129.89,595.35,385.25,80.73,179.89,1.0
2011-07-21,131.69,606.99,385.63,82.4,181.11,1.0
2011-07-22,131.78,618.23,391.62,82.59,181.39,1.0
2011-07-25,131.05,618.98,396.8,81.96,179.94,1.0
2011-07-26,130.56,622.52,401.69,81.77,179.19,1.0
2011-07-27,127.88,607.22,390.91,80.74,177.64,1.0
2011-07-28,127.51,610.94,390.14,78.95,178.08,1.0
2011-07-29,126.64,603.69,388.81,77.33,178.13,1.0
2011-08-01,126.1,606.77,395.05,77.15,177.05,1.0
